verhard,afstroming,1996,1,1,-3287.150100
verhard,afstroming,1996,2,1,-52472.655300
verhard,afstroming,1996,3,1,-1826.194500
verhard,afstroming,1996,4,1,-6696.046500
verhard,afstroming,1996,5,1,-26540.693400
verhard,afstroming,1996,6,1,-28001.649000
verhard,afstroming,1996,7,1,-31045.306500
verhard,afstroming,1996,8,1,-38837.069700
verhard,afstroming,1996,9,1,-46507.086600
verhard,afstroming,1996,10,1,-86439.873000
verhard,afstroming,1996,11,1,-203681.559900
verhard,afstroming,1996,12,1,-56490.283200
verhard,afstroming,1997,1,1,-3774.135300
verhard,afstroming,1997,2,1,-88753.052700
verhard,afstroming,1997,3,1,-22523.065500
verhard,afstroming,1997,4,1,-23253.543300
verhard,afstroming,1997,5,1,-41515.488300
verhard,afstroming,1997,6,1,-40663.264200
verhard,afstroming,1997,7,1,-47359.310700
verhard,afstroming,1997,8,1,-24592.752600
verhard,afstroming,1997,9,1,-30193.082400
verhard,afstroming,1997,10,1,-90457.500900
verhard,afstroming,1997,11,1,-41758.980900
verhard,afstroming,1997,12,1,-86926.858200
verhard,afstroming,1998,1,1,-105675.788400
verhard,afstroming,1998,2,1,-11322.405900
verhard,afstroming,1998,3,1,-143538.887700
verhard,afstroming,1998,4,1,-74021.750400
verhard,afstroming,1998,5,1,-13148.600400
verhard,afstroming,1998,6,1,-142077.932100
verhard,afstroming,1998,7,1,-27514.663800
verhard,afstroming,1998,8,1,-57707.746200
verhard,afstroming,1998,9,1,-148530.486000
verhard,afstroming,1998,10,1,-218291.115900
verhard,afstroming,1998,11,1,-98005.771500
verhard,afstroming,1998,12,1,-103119.116100
verhard,afstroming,1999,1,1,-92283.695400
verhard,afstroming,1999,2,1,-70247.615100
verhard,afstroming,1999,3,1,-89361.784200
verhard,afstroming,1999,4,1,-44559.145800
verhard,afstroming,1999,5,1,-68786.659500
verhard,afstroming,1999,6,1,-36280.397400
verhard,afstroming,1999,7,1,-16922.735700
verhard,afstroming,1999,8,1,-77430.646800
verhard,afstroming,1999,9,1,-105310.549500
verhard,afstroming,1999,10,1,-56246.790600
verhard,afstroming,1999,11,1,-72926.033700
verhard,afstroming,1999,12,1,-174584.194200
verhard,afstroming,2000,1,1,-43828.668000
verhard,afstroming,2000,2,1,-114685.014600
verhard,afstroming,2000,3,1,-70734.600300
verhard,afstroming,2000,4,1,-25688.469300
verhard,afstroming,2000,5,1,-48089.788500
verhard,afstroming,2000,6,1,-17774.959800
verhard,afstroming,2000,7,1,-112493.581200
verhard,afstroming,2000,8,1,-12661.615200
verhard,afstroming,2000,9,1,-84857.171100
verhard,afstroming,2000,10,1,-119189.627700
verhard,afstroming,2000,11,1,-175436.418300
verhard,afstroming,2000,12,1,-146947.784100
verhard,afstroming,2001,1,1,-71830.317000
verhard,afstroming,2001,2,1,-98492.756700
verhard,afstroming,2001,3,1,-52716.147900
verhard,afstroming,2001,4,1,-70247.615100
verhard,afstroming,2001,5,1,-42732.951300
verhard,afstroming,2001,6,1,-115171.999800
verhard,afstroming,2001,7,1,-67203.957600
verhard,afstroming,2001,8,1,-93257.665800
verhard,afstroming,2001,9,1,-206116.485900
verhard,afstroming,2001,10,1,-28001.649000
verhard,afstroming,2001,11,1,-125642.181600
verhard,afstroming,2001,12,1,-105432.295800
verhard,afstroming,2002,1,1,-89727.023100
verhard,afstroming,2002,2,1,-184810.883400
verhard,afstroming,2002,3,1,-22523.065500
verhard,afstroming,2002,4,1,-54055.357200
verhard,afstroming,2002,5,1,-11322.405900
verhard,afstroming,2002,6,1,-38471.830800
verhard,afstroming,2002,7,1,-69760.629900
verhard,afstroming,2002,8,1,-232535.433000
verhard,afstroming,2002,9,1,-29462.604600
verhard,afstroming,2002,10,1,-114563.268300
verhard,afstroming,2002,11,1,-94353.382500
verhard,afstroming,2002,12,1,-111032.625600
verhard,afstroming,2003,1,1,-112128.342300
verhard,afstroming,2003,2,1,-19479.408000
verhard,afstroming,2003,3,1,-16314.004200
verhard,afstroming,2003,4,1,-37863.099300
verhard,afstroming,2003,5,1,-79378.587600
verhard,afstroming,2003,6,1,-9496.211400
verhard,afstroming,2003,7,1,-34454.202900
verhard,afstroming,2003,8,1,-10713.674400
verhard,afstroming,2003,9,1,-34697.695500
verhard,afstroming,2003,10,1,-91553.217600
verhard,afstroming,2003,11,1,-76334.930100
verhard,afstroming,2003,12,1,-117850.418400
verhard,afstroming,2004,1,1,-166305.445800
verhard,afstroming,2004,2,1,-84248.439600
verhard,afstroming,2004,3,1,-36158.651100
verhard,afstroming,2004,4,1,-19966.393200
verhard,afstroming,2004,5,1,-16557.496800
verhard,afstroming,2004,6,1,-62212.359300
verhard,afstroming,2004,7,1,-103606.101300
verhard,afstroming,2004,8,1,-185297.868600
verhard,afstroming,2004,9,1,-88266.067500
verhard,afstroming,2004,10,1,-51376.938600
verhard,afstroming,2004,11,1,-86683.365600
