bakje,jaar,maand,dag,berging,afstroming,netto drainage,kwel,netto neerslag
verhard,1996,3,13,0.000000,0.000000,-365.238900,365.238900,-1582.701900
verhard,1996,3,14,0.000000,0.000000,-365.238900,365.238900,-1704.448200
verhard,1996,3,15,0.000000,0.000000,-365.238900,365.238900,-1826.194500
verhard,1996,3,16,0.000000,0.000000,-365.238900,365.238900,-730.477800
verhard,1996,3,17,0.000000,0.000000,-365.238900,365.238900,-486.985200
verhard,1996,3,18,0.000000,0.000000,-365.238900,365.238900,-730.477800
verhard,1996,3,19,0.000000,0.000000,-365.238900,365.238900,-486.985200
verhard,1996,3,20,0.000000,0.000000,-365.238900,365.238900,-1826.194500
verhard,1996,3,21,608.731500,0.000000,-365.238900,365.238900,608.731500
verhard,1996,3,22,365.238900,0.000000,-365.238900,365.238900,-243.492600
verhard,1996,3,23,243.492600,0.000000,-365.238900,365.238900,-121.746300
verhard,1996,3,24,0.000000,0.000000,-365.238900,365.238900,-730.477800
verhard,1996,3,25,0.000000,0.000000,-365.238900,365.238900,-2313.179700
verhard,1996,3,26,0.000000,0.000000,-365.238900,365.238900,-486.985200
verhard,1996,3,27,0.000000,0.000000,-365.238900,365.238900,-2556.672300
verhard,1996,3,28,1582.701900,0.000000,-365.238900,365.238900,1582.701900
verhard,1996,3,29,973.970400,0.000000,-365.238900,365.238900,-608.731500
verhard,1996,3,30,0.000000,0.000000,-365.238900,365.238900,-973.970400
verhard,1996,3,31,0.000000,0.000000,-365.238900,365.238900,-1704.448200
verhard,1996,4,1,0.000000,0.000000,-365.238900,365.238900,-2191.433400
verhard,1996,4,2,0.000000,0.000000,-365.238900,365.238900,-1460.955600
verhard,1996,4,3,0.000000,0.000000,-365.238900,365.238900,-2678.418600
verhard,1996,4,4,0.000000,0.000000,-365.238900,365.238900,-3043.657500
verhard,1996,4,5,0.000000,0.000000,-365.238900,365.238900,-2921.911200
verhard,1996,4,6,0.000000,0.000000,-365.238900,365.238900,-973.970400
verhard,1996,4,7,0.000000,0.000000,-365.238900,365.238900,-1947.940800
verhard,1996,4,8,0.000000,0.000000,-365.238900,365.238900,-1947.940800
verhard,1996,4,9,0.000000,0.000000,-365.238900,365.238900,-1826.194500
verhard,1996,4,10,2434.926000,-6330.807600,-365.238900,365.238900,8765.733600
verhard,1996,4,11,2434.926000,-365.238900,-365.238900,365.238900,365.238900
verhard,1996,4,12,0.000000,0.000000,-365.238900,365.238900,-2921.911200
verhard,1996,4,13,0.000000,0.000000,-365.238900,365.238900,-3043.657500
verhard,1996,4,14,0.000000,0.000000,-365.238900,365.238900,-3408.896400
verhard,1996,4,15,0.000000,0.000000,-365.238900,365.238900,-3652.389000
verhard,1996,4,16,0.000000,0.000000,-365.238900,365.238900,-3287.150100
verhard,1996,4,17,0.000000,0.000000,-365.238900,365.238900,-3287.150100
verhard,1996,4,18,0.000000,0.000000,-365.238900,365.238900,-2556.672300
verhard,1996,4,19,0.000000,0.000000,-365.238900,365.238900,-3043.657500
verhard,1996,4,20,0.000000,0.000000,-365.238900,365.238900,-3774.135300
verhard,1996,4,21,0.000000,0.000000,-365.238900,365.238900,-4869.852000
verhard,1996,4,22,0.000000,0.000000,-365.238900,365.238900,-3774.135300
verhard,1996,4,23,0.000000,0.000000,-365.238900,365.238900,-2678.418600
verhard,1996,4,24,0.000000,0.000000,-365.238900,365.238900,-3895.881600
verhard,1996,4,25,0.000000,0.000000,-365.238900,365.238900,-4382.866800
verhard,1996,4,26,0.000000,0.000000,-365.238900,365.238900,-3895.881600
verhard,1996,4,27,0.000000,0.000000,-365.238900,365.238900,-4017.627900
verhard,1996,4,28,0.000000,0.000000,-365.238900,365.238900,-4261.120500
verhard,1996,4,29,0.000000,0.000000,-365.238900,365.238900,-2678.418600
verhard,1996,4,30,0.000000,0.000000,-365.238900,365.238900,-2678.418600
verhard,1996,5,1,0.000000,0.000000,-365.238900,365.238900,-2313.179700
verhard,1996,5,2,365.238900,0.000000,-365.238900,365.238900,365.238900
verhard,1996,5,3,2434.926000,-3895.881600,-365.238900,365.238900,5965.568700
verhard,1996,5,4,0.000000,0.000000,-365.238900,365.238900,-2678.418600
verhard,1996,5,5,0.000000,0.000000,-365.238900,365.238900,-3408.896400
verhard,1996,5,6,0.000000,0.000000,-365.238900,365.238900,-4261.120500
verhard,1996,5,7,0.000000,0.000000,-365.238900,365.238900,-4626.359400
verhard,1996,5,8,0.000000,0.000000,-365.238900,365.238900,-3895.881600
verhard,1996,5,9,0.000000,0.000000,-365.238900,365.238900,-3652.389000
verhard,1996,5,10,0.000000,0.000000,-365.238900,365.238900,-486.985200
verhard,1996,5,11,0.000000,0.000000,-365.238900,365.238900,-1095.716700
verhard,1996,5,12,0.000000,0.000000,-365.238900,365.238900,-1217.463000
verhard,1996,5,13,0.000000,0.000000,-365.238900,365.238900,-1339.209300
verhard,1996,5,14,0.000000,0.000000,-365.238900,365.238900,-1826.194500
verhard,1996,5,15,0.000000,0.000000,-365.238900,365.238900,-2678.418600
verhard,1996,5,16,2434.926000,-4261.120500,-365.238900,365.238900,6696.046500
verhard,1996,5,17,1826.194500,0.000000,-365.238900,365.238900,-608.731500
verhard,1996,5,18,852.224100,0.000000,-365.238900,365.238900,-973.970400
verhard,1996,5,19,0.000000,0.000000,-365.238900,365.238900,-3165.403800
verhard,1996,5,20,0.000000,0.000000,-365.238900,365.238900,-4869.852000
verhard,1996,5,21,0.000000,0.000000,-365.238900,365.238900,-2921.911200
verhard,1996,5,22,2434.926000,-8887.479900,-365.238900,365.238900,11322.405900
verhard,1996,5,23,486.985200,0.000000,-365.238900,365.238900,-1947.940800
verhard,1996,5,24,2434.926000,-6696.046500,-365.238900,365.238900,8643.987300
