openwater,inlaat peilbeheer,2002,10,1,120784.200000
openwater,inlaat peilbeheer,2002,11,1,120784.200000
openwater,inlaat peilbeheer,2002,12,1,128836.480000
openwater,inlaat peilbeheer,2003,1,1,0.000000
openwater,inlaat peilbeheer,2003,2,1,0.000000
openwater,inlaat peilbeheer,2003,3,1,0.000000
openwater,inlaat peilbeheer,2003,4,1,0.000000
openwater,inlaat peilbeheer,2003,5,1,0.000000
openwater,inlaat peilbeheer,2003,6,1,0.000000
openwater,inlaat peilbeheer,2003,7,1,0.000000
openwater,inlaat peilbeheer,2003,8,1,76496.660000
openwater,inlaat peilbeheer,2003,9,1,120784.200000
openwater,inlaat peilbeheer,2003,10,1,120784.200000
openwater,inlaat peilbeheer,2003,11,1,120784.200000
openwater,inlaat peilbeheer,2003,12,1,128836.480000
openwater,inlaat peilbeheer,2004,1,1,0.000000
openwater,inlaat peilbeheer,2004,2,1,0.000000
openwater,inlaat peilbeheer,2004,3,1,0.000000
openwater,inlaat peilbeheer,2004,4,1,0.000000
openwater,inlaat peilbeheer,2004,5,1,0.000000
openwater,inlaat peilbeheer,2004,6,1,0.000000
openwater,inlaat peilbeheer,2004,7,1,0.000000
openwater,inlaat peilbeheer,2004,8,1,76496.660000
openwater,inlaat peilbeheer,2004,9,1,120784.200000
openwater,inlaat peilbeheer,2004,10,1,120784.200000
openwater,inlaat peilbeheer,2004,11,1,120784.200000
openwater,inlaat peilbeheer,2004,12,1,128836.480000
openwater,inlaat peilbeheer,2005,1,1,0.000000
openwater,inlaat peilbeheer,2005,2,1,0.000000
openwater,inlaat peilbeheer,2005,3,1,0.000000
openwater,inlaat peilbeheer,2005,4,1,0.000000
openwater,inlaat peilbeheer,2005,5,1,0.000000
openwater,inlaat peilbeheer,2005,6,1,0.000000
openwater,inlaat peilbeheer,2005,7,1,0.000000
openwater,inlaat peilbeheer,2005,8,1,76496.660000
openwater,inlaat peilbeheer,2005,9,1,120784.200000
openwater,inlaat peilbeheer,2005,10,1,120784.200000
openwater,inlaat peilbeheer,2005,11,1,120784.200000
openwater,inlaat peilbeheer,2005,12,1,128836.480000
openwater,inlaat peilbeheer,2006,1,1,0.000000
openwater,inlaat peilbeheer,2006,2,1,0.000000
openwater,inlaat peilbeheer,2006,3,1,0.000000
openwater,inlaat peilbeheer,2006,4,1,0.000000
openwater,inlaat peilbeheer,2006,5,1,0.000000
openwater,inlaat peilbeheer,2006,6,1,0.000000
openwater,inlaat peilbeheer,2006,7,1,0.000000
openwater,inlaat peilbeheer,2006,8,1,76496.660000
openwater,inlaat peilbeheer,2006,9,1,120784.200000
openwater,inlaat peilbeheer,2006,10,1,120784.200000
openwater,inlaat peilbeheer,2006,11,1,120784.200000
openwater,inlaat peilbeheer,2006,12,1,128836.480000
openwater,inlaat peilbeheer,2007,1,1,0.000000
openwater,inlaat peilbeheer,2007,2,1,0.000000
openwater,inlaat peilbeheer,2007,3,1,0.000000
openwater,inlaat peilbeheer,2007,4,1,0.000000
openwater,inlaat peilbeheer,2007,5,1,0.000000
openwater,inlaat peilbeheer,2007,6,1,0.000000
openwater,inlaat peilbeheer,2007,7,1,0.000000
openwater,inlaat peilbeheer,2007,8,1,76496.660000
openwater,inlaat peilbeheer,2007,9,1,120784.200000
openwater,inlaat peilbeheer,2007,10,1,120784.200000
openwater,inlaat peilbeheer,2007,11,1,120784.200000
openwater,inlaat peilbeheer,2007,12,1,128836.480000
openwater,inlaat peilbeheer,2008,1,1,0.000000
openwater,inlaat peilbeheer,2008,2,1,0.000000
openwater,inlaat peilbeheer,2008,3,1,0.000000
openwater,inlaat peilbeheer,2008,4,1,0.000000
openwater,inlaat peilbeheer,2008,5,1,0.000000
openwater,inlaat peilbeheer,2008,6,1,0.000000
openwater,inlaat peilbeheer,2008,7,1,0.000000
openwater,inlaat peilbeheer,2008,8,1,76496.660000
openwater,inlaat peilbeheer,2008,9,1,120784.200000
